metro,pop_1317,pop_1822,pop_growth
"Odessa, TX",155744.0,162300.0,0.04209471953975763
"Ogden, UT",642274.0,696650.0,0.08466168644534888
"Oklahoma City, OK",1353504.0,1428923.0,0.05572129820081795
"Olean, NY",78175.0,77000.0,-0.0150303805564439
"Olympia, WA",269885.0,294272.0,0.09036070919095174
"Omaha, NE",914190.0,966688.0,0.05742569925289054
"Ontario, OR",53260.0,57109.0,0.07226811866316174
"Opelousas, LA",83580.0,82574.0,-0.012036372337879908
"Orangeburg, SC",89116.0,84159.0,-0.05562413034696356
"Orlando, FL",2390859.0,2679298.0,0.12064241345892834
"Oshkosh, WI",169540.0,171197.0,0.009773504777633502
"Oskaloosa, IA",22301.0,22059.0,-0.010851531321465435
"Othello, WA",19261.0,20557.0,0.06728622605264523
"Ottawa, IL",150541.0,148326.0,-0.014713599617379947
"Ottawa, KS",25599.0,25968.0,0.014414625571311346
"Oxnard, CA",847834.0,842009.0,-0.006870448696325027
"Ozark, AL",49393.0,49455.0,0.0012552385965622914
"Paducah, KY",97319.0,98430.0,0.011416064694458328
"Pahrump, NV",43296.0,51698.0,0.19405949741315598
"Palatka, FL",72435.0,73604.0,0.01613860702698977
"Paragould, AR",44197.0,45954.0,0.03975382944543737
"Parkersburg, WV",91816.0,89474.0,-0.02550753681275597
"Pella, IA",33127.0,33487.0,0.010867268391342444
"Pensacola, FL",476702.0,510290.0,0.0704591128210077
"Peru, IN",36035.0,35952.0,-0.0023033162203413005
"Philadelphia, PA",6065644.0,6232894.0,0.027573329394207757
"Picayune, MS",55049.0,56351.0,0.02365165579756212
"Pine Bluff, AR",93590.0,87498.0,-0.06509242440431673
"Pittsburgh, PA",2348143.0,2365501.0,0.007392224408820036
"Plymouth, IN",46752.0,46208.0,-0.0116358658453114
"Ponce, PR",316625.0,222831.0,-0.2962305566521911
"Pontiac, IL",36812.0,35771.0,-0.028278822123220637
"Port Lavaca, TX",21821.0,20127.0,-0.07763163924659733
"Port St. Lucie, FL",454482.0,494081.0,0.08712996334288259
"Portales, NM",19313.0,19142.0,-0.008854139698648567
"Portland, ME",525776.0,552916.0,0.05161894038525916
"Portland, OR",2382037.0,2505312.0,0.0517519249281182
"Portsmouth, OH",76871.0,73716.0,-0.041042785966099005
"Prineville, OR",21717.0,24987.0,0.1505732836027076
"Providence, RI",1613154.0,1670949.0,0.035827329566799015
"Provo, UT",587190.0,677964.0,0.15459050733152813
"Pueblo, CO",163368.0,168135.0,0.02917952108124
"Pullman, WA",47794.0,47141.0,-0.01366280286228394
"Punta Gorda, FL",173236.0,189900.0,0.09619247731418401
"Quincy, IL",76865.0,75570.0,-0.01684772002862156
"Racine, WI",195101.0,197068.0,0.010081957550192033
"Raleigh, NC",1273985.0,1420825.0,0.11526038375648073
"Rapid City, SD",143711.0,140356.0,-0.023345464160711482
"Raymondville, TX",21839.0,20308.0,-0.07010394248820917
"Reading, PA",415500.0,428483.0,0.031246690734055393
"Red Bluff, CA",63247.0,65484.0,0.03536926652647554
"Red Wing, MN",46138.0,47697.0,0.033789934544193434
"Redding, CA",178919.0,181852.0,0.01639289287331147
"Reno, NV",449442.0,490769.0,0.0919517980073068
"Rexburg, ID",51130.0,66006.0,0.2909446508898885
"Richmond, IN",66972.0,66522.0,-0.006719225945171159
